name	lat	lon	height	range	character	description
Farol de Baixio do Rio do Fogo	05°13.74' S	035°20.86' W	12	10	Lp E.	Torre quadrangular de concreto armado,
Farol de Baixo da Teresa Panca	05°24.09' S	035°17.79' W	10	11	Lp B.	Torre cilíndrica de concreto armado,
Farol de Banco Coroa Grande	01°01.70' S	048°35.70' W	18	10	N/D	Estrutura tubular Setor de visibi metálica, branca lidade
Farol de Barra de Itabapoana	21°18.83' S	040°57.96' W	35	11	Lp V.	Torre quadrangular em treliça metálica,
Farol de Barra do Pote	13°01.16' S	038°38.66' W	6	6	Q (2) B.	Tubo metálico fixa- do em base de con-
Farol de Barra do Tombo	17°46.00' S	039°12.28' W			Lp B.	Farol branco, Altura 12m
Farol de Barreiras do Prado	17°17.24' S	039°13.32' W	42	16	Lp (2) B.	Armação tronco pi- ramidal em treliça
Farol de Belém	01°27.92' S	048°30.33' W	45	15	N/D	Torre quadrangular metálica com duas de
Farol de Boco do Furo	01°27.84' S	048°42.59' W	5	5	Lp (2) B.	Torre tronco pira midal quadrangular
Farol de Boiucu	01°48.50' S	050°18.40' W	13	4	N/D	Tubo metálico com Setor de visibi placa de visibilida lidade
Farol de Bom Abrigo	25°07.39' S	047°51.73' W			Al.Fl (2+1).	Farol white;red, Altura 146m
Farol de Cabeca de Negro	12°49.65' S	038°51.35' W	7	5	Lp E.	Tubo metálico sobre base quadrangular
Farol de Cabo Orange	04°25.78' N	051°33.35' W	50	18	N/D	Torre quadrangular Setor de visibili em treliça metálica, dade
Farol de Cabo de Santo Agostinho	08°21.09' S	034°56.84' W	91	22	Lp B.	Torre cilíndrica de concreto armado,
Farol de Cabo de São Roque	05°29.35' S	035°15.69' W	50	21	Lp (3) B.	Estrutura quadran- gular de vigas de
Farol de Caete	00°48.38' S	046°37.22' W	20	15	Q (2) B.	Torre metálica retan gular, branca
Farol de Calheta	20°30.49' S	029°18.58' W	14	8	Q B.	Torre tronco pira- Funcionamento midal quadrangular ocasional
Farol de Calombo	23°01.65' S	044°18.78' W	3	5	Lp. E. 3s	Poste quadrangular de concreto armado,
Farol de Camamu	13°53.48' S	038°59.94' W			N/D	Farol
Farol de Camapijo	01°21.81' S	048°38.82' W	8	8	Lp (2) B.	Tubo metálico sobre base de concreto ar
Farol de Camaçari	12°44.53' S	038°08.95' W	20	16	Lp B.	Torre cilíndrica de Na extremidade con creto armado, de um píer
Farol de Canal da Feitoria No 5	31°43.45' S	052°00.22' W	6	7	Lp E.	Armação metálica sobre estacas, en-
Farol de Canal da Setia No 4	31°53.12' S	052°09.07' W	7	9	Lp V.	Armação metálica sobre estacas, verde
Farol de Cascalheira	00°01.35' S	051°03.72' W			Lp (2) B.	Farol branco, Altura 13m
Farol de Colares	00°55.08' S	048°17.53' W	14	10	Lp (2) B.	Tubo metálico bran co, sobre base de
Farol de Coroa Vermelha	17°58.04' S	039°12.48' W	16	13	Lp (3) B.	Torre octogonal de alvenaria, encarnada
Farol de Coroa do Meio No 12	31°44.35' S	052°09.30' W	7	9	Lp V.	Armação metálica sobre estacas, verde
Farol de Coroa dos Patos No 4	31°43.00' S	052°04.33' W	7	9	Lp V.	Armação metálica sobre estacas, verde
Farol de Cruzeiro	23°25.99' S	045°04.10' W			N/D	Farol
Farol de Desertas	30°33.00' S	050°50.23' W	6	9	Lp V.	Armação metálica, verde
Farol de Desertores	30°57.83' S	051°14.84' W	8	9	Lp V.	Armação metálica sobre estacas, verde
Farol de Diamante No 6	31°57.28' S	052°04.76' W	6	9	Lp V.	Armação metálica sobre estacas, verde
Farol de Enseada dos Portugueses	20°30.49' S	029°18.92' W	45	4	Q E.	Armação em treliça Funcionamento quadrangular me- ocasional
Farol de Farolete Baleias No 7	31°55.09' S	052°07.13' W	8	7	Lp E.	Armação metálica sobre estacas, en- CANAL DA SETIA
Farol de Farolete Barba Negra	30°32.02' S	051°08.48' W	8	9	Lp V.	Armação metálica, verde
Farol de Farolete Calhau de São Pedro	27°15.07' S	048°25.33' W	19	8	Lp B.	Torre tronco pira- midal quadrangular
Farol de Farolete Propriá	10°56.80' S	037°01.86' W			N/D	Farol
Farol de Fortaleza de Santa Cruz	22°56.28' S	043°08.06' W	26	14	Iso E.	Torre hexagonal envi draçada, sobre
Farol de Fugitivo	00°10.21' N	050°55.11' W			Lp (2) B.	Farol branco, Altura 13m
Farol de Gambeta No 9	31°43.92' S	052°08.14' W	7	7	Lp E.	Armação metálica sobre estacas, en- CANAL DO NASCIMENTO
Farol de Gameleira	05°13.20' S	035°25.36' W			N/D	Farol
Farol de Garcia d'Avila	12°34.65' S	038°00.10' W	28	21	Lp (2) B.	Torre cilíndrica de al venaria, branca
Farol de Guarau	24°22.90' S	046°59.20' W			N/D	Farol
Farol de Guaxindiba	21°27.90' S	041°02.60' W			Lp (2) B.	Farol branco, Altura 23m
Farol de Ilha Caiobá	25°51.17' S	048°32.13' W	27	15	N/D	Armação tronco pira- Setor de visibi- midal quadrangular lidade
Farol de Ilha Cameleao	01°49.16' S	049°56.81' W	13	10	N/D	Torre tronco pirami Setor de visibi dal quadrangular em lidade
Farol de Ilha Cotijuba	01°16.00' S	048°33.80' W	10	9	N/D	Tubo metálico sobre Setor de visibi base de concreto ar lidade
Farol de Ilha Escalvada	20°42.02' S	040°24.41' W	27	15	Q (2) B.	Torre cilíndrica me tálica, encarnada CANAL DE ACESSO AO TERMINAL DA PONTA DO UBU
Farol de Ilha Joroca	01°38.80' S	049°13.70' W			N/D	Farol
Farol de Ilha Jupatituba	01°41.00' S	049°14.10' W			N/D	Farol
Farol de Ilha Jutuba	01°15.00' S	048°30.30' W			Lp B.	Farol branco, Altura 12m
Farol de Ilha Maiau	01°16.90' S	044°54.21' W	38	20	N/D	Torre cilíndrica de Visibilidade concreto armado, obscurecida
Farol de Ilha Mandi	01°36.70' S	049°08.60' W	15	12	N/D	Torre tronco pira Setor de visibi midal quadrangular lidade
Farol de Ilha Queimada Grande	24°28.79' S	046°40.56' W	83	23	N/D	Torre quadrangular Setor de visibi- de concreto armado, lidade
Farol de Ilha Rasa	23°03.84' S	043°08.75' W			N/D	Farol, Altura 26m
Farol de Ilha Rata	03°48.77' S	032°23.20' W	63	16	N/D	Torre quadrangular Setor de visibi- de alvenaria, branca lidade
Farol de Ilha Santana	22°25.03' S	041°42.27' W			Al.LFl.	Farol white;red, Altura 156m
Farol de Ilha Tatuoca	01°11.97' S	048°30.34' W	12	9	N/D	Armação tronco Setor de visibi pira midal quadran lidade
Farol de Ilha da Moela	24°03.05' S	046°15.82' W			Al.Oc (3+1).	Farol white;red, Altura 110m
Farol de Ilha da Vitoria	23°45.10' S	045°00.70' W	101	16	N/D	Torre quadrangular Setor de visibi- de alvenaria, branca lidade
Farol de Ilha das Araras	01°48.65' S	050°08.93' W	13	8	N/D	Torre quadrangular Setor de visibi metálica com pla lidade
Farol de Ilha de Coral	27°55.98' S	048°32.56' W	81	14	Lp B.	Torre tronco pira- midal quadrangular
Farol de Ilha de Guarapirá	02°34.74' S	044°22.40' W	17	9	N/D	Tubo metálico, Setor de visibi branco lidade
Farol de Ilha de Santana	02°16.23' S	043°37.44' W			Al.LFl.	Farol white;white;red, Altura 57m
Farol de Ilha do Apeu	00°54.62' S	046°11.17' W	41	15	Lp (2) B.	Armação tronco pi rami dal quadrangu
Farol de Ilha do Arvoredo	27°17.77' S	048°21.41' W	90	24	N/D	Torre troncônica Setor de visibi- metálica, com faixas lidade B. 237000 intensidades di- B. 79000 ferentes. Estação de radiocomu- ni cação
Farol de Ilha do Capim	01°33.30' S	048°51.90' W	8	10	N/D	Tubo metálico com Setor de visibi placa de visibilida lidade
Farol de Ilha do Frade, Ponta de Nossa Senhora de Guadalupe	12°48.85' S	038°38.48' W	35	10	N/D	Torre quadrangular Setor de visibi- de concreto armado, lidade
Farol de Ilha do Frances	20°55.65' S	040°45.31' W	48	18	LpL. B. 15s	Torre quadrangular de alvenaria, mar
Farol de Ilha do Machadinho	00°10.80' S	048°45.90' W	23	11	N/D	Armação tronco pi Setor de visibi rami dal quadrangu lidade
Farol de Ilha do Mangunca	01°36.94' S	044°39.29' W	46	28	Lp B.	Torre tronco pira midal quadrangular
Farol de Ilha do Pacotes	20°21.12' S	040°15.03' W	7	8	Lp B.	Torre cilíndrica de Racon N (—.) alvenaria, branca Bandas S e X CANAL DE ACESSO AO PORTO DE VITÓRIA
Farol de Ilha do Para	00°52.83' N	049°59.27' W	33	16	Lp (3) B.	Torre quadrangular Racon B (– ...) me tálica em treliça, Bandas S e X BACIA AMAZÔNICA – Rio Amazonas
Farol de Ilha do Toque-Toque	23°51.34' S	045°31.49' W	35	12	N/D	Estrutura quadrangu- Setor de visibi- lar em treliça, reves- lidade
Farol de Ilha dos Amores, Salvaterra	00°45.17' S	048°30.48' W	14	5	Lp B.	Armação tronco pi rami dal quadrangu
Farol de Ilha dos Papagaios	22°22.98' S	041°45.52' W			N/D	Farol
Farol de Ilhas Maricá	23°01.04' S	042°55.35' W	80	16	LpL B.	Torre troncônica de alvenaria, com
Farol de Ilhas das Araras	28°19.30' S	048°38.91' W	54	11	Q (2) B.	Torre cilíndrica de concreto armado,
