name	lat	lon	height	range	character	description
Farol de Saubara	12°44.40' S	038°43.10' W	8	11	Lp B.	Torre quadrangular de alvenaria, branca RIO PARAGUAÇU
Farol de Sol	05°45.04' S	035°11.80' W	8	7	Lp E.	Torre troncônica de Interferência de concreto armado luzes de fundo
Farol de Subauma	12°14.40' S	037°46.80' W	48	23	Lp B.	Torre quadrangular de concreto armado,
Farol de Sucuraca	19°05.82' S	039°43.38' W	64	24	Lp (2) B.	Torre quadrangular de concreto armado,
Farol de Sul	08°03.24' S	034°51.23' W	12	11	Lp E.	Torre quadrangular de concreto armado,
Farol de Taia	00°39.23' N	050°17.56' W	13	10	Lp (3) B.	Armação tronco pi rami dal quadrangu
Farol de Tamandare	08°45.60' S	035°06.10' W	27	18	N/D	Torre cilíndrica de Limite N de concreto armado, visibilidade 236°
Farol de Verga	32°58.59' S	052°33.50' W			Lp B.	Farol branco, Altura 15m
Farol de Vitoria	20°15.16' S	040°17.19' W			Al.Fl.	Farol white;green, Altura 18m
Farol de das Conchas	25°32.35' S	048°17.45' W	67	25	N/D	Torre troncônica Setor de visibi- metálica, branca lidade
Farol de das Rocas	03°51.45' S	033°48.89' W	18	13	Q (2) B.	Armação tronco pi- Refletor radar ramidal quadrangu-
Farol de desativado	23°59.18' S	046°18.80' W	4	6	N/D	Armação metálica, encarnada
Farol de dos Castelhanos	23°10.10' S	044°05.60' W	121	27	N/D	Torre quadrangu Setor de visibi lar de alvenaria, no lidade
